Kabupaten/Kota,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Bogor,12153,92.1,251,3.78,0,31
Sukabumi,4828,74,14,1.06,0.01,15
Cianjur,4746,79.7,39,0.64,0,35
Bandung,5839,80.2,40,0.05,0,110
Garut,4855,84.2,61,0.34,0,34
Tasikmalaya,2130,81.9,11,0.64,0.02,18
Ciamis,1664,82.1,36,1.01,–,58
Kuningan,1726,91.9,51,4.51,–,134
Cirebon,3472,90.6,144,7.14,–,82
Majalengka,1744,97.7,166,1.34,–,52
Sumedang,1426,80.4,13,1.19,0.01,184
Indramayu,1754,69,177,21.47,0.01,21
Subang,2991,91.7,41,7.1,–,62
Purwakarta,2417,88.9,–,4.29,–,43
Karawang,4660,73.3,66,6.66,–,56
Bekasi,4867,64.5,226,7.57,–,25
Bandung Barat,1771,85.5,7,0.35,–,74
Pangandaran,421,90.5,9,2.26,0.01,123
Kota Bogor,4677,71.6,14,1.42,0.04,137
Kota Sukabumi,1496,72.8,81,1.71,0.03,310
Kota Bandung,9165,81.9,47,0.04,0.02,201
Kota Cirebon,1966,80,140,3.76,0.08,84
Kota Bekasi,6134,74.7,–,3.73,0.01,78
Kota Depok,4142,83,50,1.24,0.08,87
Kota Cimahi,1763,86.5,30,0.18,0.07,111
Kota Tasikmalaya,1520,85.7,72,1.04,–,270
Kota Banjar,274,95.5,10,0.15,–,60
Jawa Barat,94601,81.6,2152,...,0.01,92.41
,,,,,,
Keterangan,,,,,,
*Angka keberhasilan TBC merupakan kondisi tahun 2021,,,,,,
