Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bogor,5567,1.46,11.27,1861,105.6
Sukabumi,2807,1.69,5.68,674,103.3
Cianjur,2543,1.5,5.15,700,105.3
Bandung,3719,1.49,7.53,2136,103.9
Garut,2627,0.92,5.32,847,105
Tasikmalaya,1906,1.25,3.86,705,102.8
Ciamis,1248,0.87,2.53,782,100.2
Kuningan,1196,1.38,2.42,1003,102.7
Cirebon,2315,1.12,4.69,2150,102.8
Majalengka,1335,1.31,2.7,1004,101
Sumedang,1167,0.72,2.36,745,101.9
Indramayu,1872,1.16,3.79,902,101.1
Subang,1624,1.04,3.29,750,100.5
Purwakarta,1029,1.75,2.08,1036,103.1
Karawang,2505,1.54,5.07,1309,102.6
Bekasi,3215,1.86,6.51,2570,103.1
Bandung Barat,1847,1.86,3.74,1439,104.2
Pangandaran,432,1.17,0.88,383,100.2
Kota Bogor,1064,1.12,2.15,9550,102.9
Kota Sukabumi,356,1.65,0.72,7377,101.3
Kota Bandung,2462,0.41,4.98,14776,101.4
Kota Cirebon,341,1.35,0.69,8646,100.7
Kota Bekasi,2590,1.04,5.24,12159,101.4
Kota Depok,2123,1.85,4.3,10622,101.8
Kota Cimahi,575,0.69,1.16,13557,101.7
Kota Tasikmalaya,733,1.37,1.48,3988,103.1
Kota Banjar,206,1.55,0.42,1576,100.7
Jawa Barat,49406,1.33,100,1334,103
