Kabupaten/Kota,
,Persentase Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak (Persen)
,2021
Provinsi Jawa Barat,71.66
Bogor,63.91
Sukabumi,64.35
Cianjur,58.52
Bandung,64.51
Garut,43.73
Tasikmalaya,49.35
Ciamis,66.59
Kuningan,80.98
Cirebon,83.41
Majalengka,80.59
Sumedang,87.87
Indramayu,89.75
Subang,85.82
Purwakarta,72.61
Karawang,77.19
Bekasi,81.02
Bandung Barat,63.78
Pangandaran,81.49
Kota Bogor,75.35
Kota Sukabumi,39.64
Kota Bandung,48.9
Kota Cirebon,92.71
Kota Bekasi,97.54
Kota Depok,97.06
Kota Cimahi,78.67
Kota Tasikmalaya,52.62
Kota Banjar,81.92
