Kab_Kota,Lat,Lon,Tahun,Bulan,Periode,Curah_Hujan_mm,Suhu_C
Bogor,-6.595,106.816,2021,1,2021-01,315.0,24.03
Bogor,-6.595,106.816,2021,2,2021-02,551.3,24.11
Bogor,-6.595,106.816,2021,3,2021-03,484.5,24.56
Bogor,-6.595,106.816,2021,4,2021-04,206.7,24.74
Bogor,-6.595,106.816,2021,5,2021-05,166.8,25.25
Bogor,-6.595,106.816,2021,6,2021-06,158.7,24.78
Bogor,-6.595,106.816,2021,7,2021-07,59.8,24.26
Bogor,-6.595,106.816,2021,8,2021-08,86.8,24.73
Bogor,-6.595,106.816,2021,9,2021-09,140.1,25.17
Bogor,-6.595,106.816,2021,10,2021-10,213.9,25.63
Bogor,-6.595,106.816,2021,11,2021-11,319.2,24.86
Bogor,-6.595,106.816,2021,12,2021-12,311.9,24.69
Bogor,-6.595,106.816,2022,1,2022-01,219.5,24.48
Bogor,-6.595,106.816,2022,2,2022-02,227.6,24.29
Bogor,-6.595,106.816,2022,3,2022-03,256.1,24.74
Bogor,-6.595,106.816,2022,4,2022-04,322.8,25.0
Bogor,-6.595,106.816,2022,5,2022-05,187.9,25.04
Bogor,-6.595,106.816,2022,6,2022-06,159.9,24.33
Bogor,-6.595,106.816,2022,7,2022-07,124.3,24.57
Bogor,-6.595,106.816,2022,8,2022-08,105.1,24.89
Bogor,-6.595,106.816,2022,9,2022-09,173.7,25.04
Bogor,-6.595,106.816,2022,10,2022-10,297.0,24.63
Bogor,-6.595,106.816,2022,11,2022-11,261.6,24.57
Bogor,-6.595,106.816,2022,12,2022-12,257.0,24.49
Bogor,-6.595,106.816,2023,1,2023-01,142.9,24.26
Bogor,-6.595,106.816,2023,2,2023-02,383.3,23.8
Bogor,-6.595,106.816,2023,3,2023-03,261.0,24.7
Bogor,-6.595,106.816,2023,4,2023-04,160.5,25.07
Bogor,-6.595,106.816,2023,5,2023-05,169.3,25.58
Bogor,-6.595,106.816,2023,6,2023-06,114.9,25.23
Bogor,-6.595,106.816,2023,7,2023-07,43.4,24.74
