Tahun,Kab/Kota,Kepadatan_Penduduk_jiwa_per_km2,Persen_Sanitasi_Layak,Curah_Hujan_mm,Suhu_Udara_Celcius,Angka_Kesakitan_DBD_per_100rb
2021,Bogor,2025,63.91,3765,25.6,20.63
2021,Sukabumi,666,64.35,2890,25.3,21.46
2021,Cianjur,653,58.52,2650,24.8,26.72
2021,Bandung,2074,64.51,2076,23.2,59.9
2021,Garut,847,43.73,2347,23.5,26.4
2021,Tasikmalaya,738,49.35,2456,24.1,10.2
2021,Ciamis,875,66.59,2187,24.6,121.25
2021,Kuningan,1063,80.98,2034,24.3,33.3
2021,Cirebon,2327,83.41,1523,27.8,38.06
2021,Majalengka,1095,80.59,1654,26.7,95.23
2021,Sumedang,764,87.87,1876,24.8,61.24
2021,Indramayu,907,89.75,1287,28.3,12.32
2021,Subang,849,85.82,1812,27.1,16.99
2021,Purwakarta,1225,72.61,2103,26.4,54.94
2021,Karawang,1494,77.19,1689,27.6,56.06
2021,Bekasi,2578,81.02,1934,27.9,8.13
2021,Bandung Barat,1389,63.78,2245,23.7,56.33
2021,Pangandaran,423,81.49,2534,26.8,48.82
2021,Kota Bogor,8881,75.35,4003,25.9,20.85
2021,Kota Sukabumi,7271,39.64,2761,24.7,196.86
2021,Kota Bandung,14630,48.9,2125,23.5,111.15
2021,Kota Cirebon,9017,92.71,1456,27.6,53.05
2021,Kota Bekasi,12414,97.54,1876,27.8,53.32
2021,Kota Depok,10415,97.06,2345,27.2,51.36
2021,Kota Cimahi,14556,78.67,2234,23.8,61.9
2021,Kota Tasikmalaya,4218,52.62,2398,24.3,212.2
2021,Kota Banjar,1792,81.92,2098,24.9,79.65
2022,Bogor,1861,73.47,3987,25.4,31
2022,Sukabumi,674,63.32,3102,25.1,15
2022,Cianjur,700,61.76,2834,24.6,35
2022,Bandung,2136,70.85,2312,23.0,110
2022,Garut,847,51.9,2589,23.3,34
2022,Tasikmalaya,705,54.39,2734,23.9,18
2022,Ciamis,782,75.5,2456,24.4,58
2022,Kuningan,1003,69.29,2201,24.1,134
2022,Cirebon,2150,86.76,1687,27.6,82
2022,Majalengka,1004,81.26,1823,26.5,52
2022,Sumedang,745,80.59,2087,24.6,184
2022,Indramayu,902,86.64,1456,28.1,21
2022,Subang,750,80.02,2034,26.9,62
2022,Purwakarta,1036,82.46,2356,26.2,43
2022,Karawang,1309,85.1,1876,27.4,56
2022,Bekasi,2570,89.99,2145,27.7,25
2022,Bandung Barat,1439,50.96,2512,23.5,74
2022,Pangandaran,383,83.0,2789,26.6,123
2022,Kota Bogor,9550,67.93,4234,25.7,137
