Tahun,Kab/Kota,Kepadatan_Penduduk_jiwa_per_km2,Persen_Sanitasi_Layak,Curah_Hujan_mm,Suhu_Udara_Celcius,Angka_Kesakitan_DBD_per_100rb
2021,Bogor,2025,63.91,3015.0,24.7,20.63
2021,Sukabumi,666,64.35,3375.0,23.9,21.46
2021,Cianjur,653,58.52,3375.0,23.9,26.72
2021,Bandung,2074,64.51,3560.0,21.5,59.9
2021,Garut,847,43.73,2962.0,22.9,26.4
2021,Tasikmalaya,738,49.35,3800.0,24.1,10.2
2021,Ciamis,875,66.59,3800.0,24.1,121.25
2021,Kuningan,1063,80.98,2725.0,25.0,33.3
2021,Cirebon,2327,83.41,2725.0,25.0,38.06
2021,Majalengka,1095,80.59,2962.0,22.9,95.23
2021,Sumedang,764,87.87,2962.0,22.9,61.24
2021,Indramayu,907,89.75,2919.0,26.6,12.32
2021,Subang,849,85.82,3053.0,25.4,16.99
2021,Purwakarta,1225,72.61,3053.0,25.4,54.94
2021,Karawang,1494,77.19,3053.0,25.4,56.06
2021,Bekasi,2578,81.02,3015.0,24.7,8.13
2021,Bandung Barat,1389,63.78,3560.0,21.5,56.33
2021,Pangandaran,423,81.49,2892.0,25.4,48.82
2021,Kota Bogor,8881,75.35,3015.0,24.7,20.85
2021,Kota Sukabumi,7271,39.64,3375.0,23.9,196.86
2021,Kota Bandung,14630,48.9,3560.0,21.5,111.15
2021,Kota Cirebon,9017,92.71,2809.0,27.9,53.05
2021,Kota Bekasi,12414,97.54,2950.0,27.3,53.32
2021,Kota Depok,10415,97.06,3015.0,24.7,51.36
2021,Kota Cimahi,14556,78.67,3560.0,21.5,61.9
2021,Kota Tasikmalaya,4218,52.62,3800.0,24.1,212.2
2021,Kota Banjar,1792,81.92,2892.0,25.4,79.65
2022,Bogor,1861,73.47,2592.0,24.7,31
2022,Sukabumi,674,63.32,3343.0,23.8,15
2022,Cianjur,700,61.76,3343.0,23.8,35
2022,Bandung,2136,70.85,3419.0,21.5,110
2022,Garut,847,51.9,2971.0,22.8,34
2022,Tasikmalaya,705,54.39,4631.0,24.1,18
2022,Ciamis,782,75.5,4631.0,24.1,58
2022,Kuningan,1003,69.29,2886.0,24.9,134
